"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"283",12,4,1971,1970,1,4.282,0.025268845,4.7703671,183.50174,1389497,0.85829926
"284",12,4,1970,1970,1,3.998,0.025635572,4.6707721,197.07939,1366383,0.85829926
"285",12,4,1967,1970,1,2.902,0.026897514,4.3929925,184.27022,1295538.8,0.85829926
"286",12,4,1968,1970,1,3.238,0.025984796,4.4441829,197.2496,1319403.9,0.85829926
"287",12,4,1973,1970,1,5.217,0.024598749,4.7947378,174.62271,1452776,0.85829926
"288",12,4,1976,1970,1,6.36,0.026106363,5.287631,127.15092,1448904,0.85829926
"289",13,4,1967,1967,0,2.636,0.0321436,4.011795,405.49887,433480.66,6.0136557
"290",13,4,1970,1967,0,3.379,0.032961227,4.2103629,371.21497,432463,6.0136557
"291",13,4,1973,1967,0,4.481,0.033833016,4.6838346,296.91071,438825,6.0136557
"292",13,4,1971,1967,0,3.65,0.033759963,4.5085473,310.64526,435376,6.0136557
"293",13,4,1975,1967,0,5.157,0.034202572,4.9065866,260.77148,435615,6.0136557
"294",13,4,1974,1967,0,4.854,0.034237903,4.8723936,270.53867,435316,6.0136557
"295",13,4,1960,1967,0,1.685,0.032461636,3.5474482,479.48895,447217,6.0136557
"296",13,4,1962,1967,0,1.828,0.031696763,3.610728,471.43384,443292.34,6.0136557
"297",13,4,1972,1967,0,4.023,0.033287417,4.581181,308.67288,438038,6.0136557
"298",13,4,1961,1967,0,1.731,0.031948354,3.5729742,448.32214,445254.69,6.0136557
"299",13,4,1963,1967,0,1.946,0.031694833,3.7292235,489.24402,441330,6.0136557
"300",13,4,1964,1967,0,2.067,0.031216372,3.7428668,479.15408,439367.69,6.0136557
